comment,tonality
"This is really great!",friendly
"This movie is incredible.",friendly
"The service was horrible!",aggressive
"I am very disappointed with this product.",aggressive
"It was average, nothing special.",neutral
"The book was captivating.",friendly
"I do not recommend at all.",aggressive
"The show was breathtaking!",friendly
"I am neutral on this matter.",neutral
"The employees were very kind.",friendly
"I find it unacceptable!",aggressive
"This is really bad.",aggressive
"I loved the experience.",friendly
"I am not impressed.",neutral
"The quality is excellent!",friendly
"I am not satisfied at all.",aggressive
"This restaurant is fantastic.",friendly
"I am undecided on this question.",neutral
"I am really angry!",aggressive
"The performance was amazing.",friendly
"This product is a scam!",aggressive
"I have no opinion on that.",neutral
"The customer service was great.",friendly
"I am really unhappy.",aggressive
"I highly recommend!",friendly
"I am not convinced.",neutral
"The delivery was very slow.",aggressive
"It's a pleasure to work with them.",friendly
"I am not satisfied at all.",aggressive
"The value for money is excellent.",friendly
"I am not interested.",neutral
"I am really mad!",aggressive
"I enjoyed the film a lot.",friendly
"I am indifferent to that.",neutral
"The service was deplorable!",aggressive
"I am completely satisfied.",friendly
"I don't know what to think.",neutral
"The staff was very unpleasant.",aggressive
"I am delighted with this experience.",friendly
"I am rather neutral on this question.",neutral
"I am very upset!",aggressive
"The quality is poor.",aggressive
"I was pleasantly surprised.",friendly
"I have no opinion on that.",neutral
"The service was exceptional.",friendly
"I am really disgusted!",aggressive
"I highly recommend without hesitation!",friendly
"I am fairly neutral.",neutral
"The treatment was disrespectful!",aggressive
"I am really satisfied.",friendly
"I don't have a clear position.",neutral
"The staff was very helpful.",friendly
"I am deeply dissatisfied.",aggressive
"I am really impressed!",friendly
"I don't care about it.",neutral
"The quality is horrible.",aggressive
"I was very happy with this experience.",friendly
"I am neutral on this question.",neutral
"The service was unacceptable!",aggressive
"I am completely satisfied.",friendly
"I have no opinion on that.",neutral
"The staff was very rude.",aggressive
"I am delighted with this experience.",friendly
"I am rather indifferent.",neutral
"I am really furious!",aggressive
"The quality is terrible.",aggressive
"I was pleasantly surprised.",friendly
"I have no opinion on that.",neutral
"The service was exceptional.",friendly
"I am deeply disgusted!",aggressive
"I highly recommend!",friendly
"I am rather neutral.",neutral
"The treatment was disrespectful!",aggressive
"I am extremely satisfied.",friendly
"I don't have a strong opinion.",neutral
"The staff was very helpful.",friendly
"I am extremely dissatisfied.",aggressive
"I am really impressed!",friendly
"I don't care about it.",neutral
"The quality is terrible.",aggressive
"I was very happy with this experience.",friendly
"I am neutral on this question.",neutral
"The service was unacceptable!",aggressive
"I am completely satisfied.",friendly
"I have no opinion on that.",neutral
"The staff was very rude.",aggressive
"I am delighted with this experience.",friendly
"I am rather indifferent.",neutral
"I am really furious!",aggressive
"The quality is terrible.",aggressive
"I was pleasantly surprised.",friendly
"I have no opinion on that.",neutral
"The service was exceptional.",friendly
"I am deeply disgusted!",aggressive
"I highly recommend!",friendly
"I am rather neutral.",neutral
"The treatment was disrespectful!",aggressive
"I am extremely satisfied.",friendly
"I don't have a strong opinion.",neutral
"The staff was very helpful.",friendly
"I am extremely dissatisfied.",aggressive
"I am really impressed!",friendly
"I don't care about it.",neutral
"The quality is terrible.",aggressive
"I was very happy with this experience.",friendly
"I am neutral on this question.",neutral
"The service was unacceptable!",aggressive
